('49280', (('11', '1.5', '1231676352'), 'Fantasy'))
('49280', (('11', '1.5', '1231676352'), 'Action'))
('49280', (('11', '1.5', '1231676352'), 'Thriller'))
('5589', (('46', '3.0', '1056350877'), 'Music'))
('5589', (('46', '3.0', '1056350877'), 'Comedy'))
('5589', (('46', '3.0', '1056350877'), 'Family'))
('49280', (('824', '5.0', '1169586322'), 'Fantasy'))
('49280', (('824', '5.0', '1169586322'), 'Action'))
('49280', (('824', '5.0', '1169586322'), 'Thriller'))
('5589', (('1817', '3.5', '1117651528'), 'Music'))
('5589', (('1817', '3.5', '1117651528'), 'Comedy'))
('5589', (('1817', '3.5', '1117651528'), 'Family'))
('49280', (('1867', '0.5', '1177094825'), 'Fantasy'))
('49280', (('1867', '0.5', '1177094825'), 'Action'))
('49280', (('1867', '0.5', '1177094825'), 'Thriller'))
('49280', (('2151', '4.5', '1188311760'), 'Fantasy'))
('49280', (('2151', '4.5', '1188311760'), 'Action'))
('49280', (('2151', '4.5', '1188311760'), 'Thriller'))
('49280', (('2547', '3.5', '1202903608'), 'Fantasy'))
('49280', (('2547', '3.5', '1202903608'), 'Action'))
('49280', (('2547', '3.5', '1202903608'), 'Thriller'))
('49280', (('2642', '4.0', '1216695298'), 'Fantasy'))
('49280', (('2642', '4.0', '1216695298'), 'Action'))
('49280', (('2642', '4.0', '1216695298'), 'Thriller'))
('49280', (('2901', '4.0', '1165521435'), 'Fantasy'))
('49280', (('2901', '4.0', '1165521435'), 'Action'))
('49280', (('2901', '4.0', '1165521435'), 'Thriller'))
('5589', (('2995', '4.0', '1033124252'), 'Music'))
('5589', (('2995', '4.0', '1033124252'), 'Comedy'))
('5589', (('2995', '4.0', '1033124252'), 'Family'))
('5589', (('3437', '2.5', '1169595362'), 'Music'))
('5589', (('3437', '2.5', '1169595362'), 'Comedy'))
('5589', (('3437', '2.5', '1169595362'), 'Family'))
('49280', (('3780', '4.0', '1183949060'), 'Fantasy'))
('49280', (('3780', '4.0', '1183949060'), 'Action'))
('49280', (('3780', '4.0', '1183949060'), 'Thriller'))
('5589', (('3891', '3.0', '1142597090'), 'Music'))
('5589', (('3891', '3.0', '1142597090'), 'Comedy'))
('5589', (('3891', '3.0', '1142597090'), 'Family'))
('49280', (('4196', '4.0', '1249855531'), 'Fantasy'))
('49280', (('4196', '4.0', '1249855531'), 'Action'))
